n,m,r,c
8700,42338.0,100,0.5364783125197475
8800,41948.0,100,0.5248350682882438
8900,43000.0,100,0.5312913403813493
9000,43724.0,100,0.5335785799515946
9100,44464.0,100,0.5359958239463795
9200,44915.0,100,0.5349060233692482
9300,43497.0,100,0.5118422698779428
9400,45913.0,100,0.5338995907045225
9500,46955.0,100,0.5396447400124785
9600,46296.0,100,0.5259272953589954
9700,47603.0,100,0.5345957845487788
9800,47637.0,100,0.5289276988787611
9900,48457.0,100,0.5320100176656211
10000,49655.0,100,0.5391223124726492
10100,49626.0,100,0.5328970099637858
10200,49342.0,100,0.5240927449090992
10300,49906.0,100,0.5243826395818666
10400,50862.0,100,0.528736107374815
10500,51609.0,100,0.5308428083992571
10600,52840.0,100,0.537826712695725
10700,52787.0,100,0.531727204875479
10800,53119.0,100,0.5295861205690846
10900,53636.0,100,0.5293093509684065
11000,54075.0,100,0.528271404944225
11100,54877.0,100,0.530760375354027
11200,55711.0,100,0.5335020363776033
11300,58192.0,100,0.5518031080739731
11400,56103.0,100,0.5268302731743073
11500,57174.0,100,0.5317216867543924
11600,57441.0,100,0.5291096411600761
11700,58517.0,100,0.5339243361792294
11800,58548.0,100,0.5291992053590802
11900,60124.0,100,0.5383928878997608
12000,59817.0,100,0.5307068473029452
12100,60549.0,100,0.5322912976292442
12200,60425.0,100,0.5263862462788217
12300,61241.0,100,0.5286986985106749
12400,62235.0,100,0.5324892371397373
12500,63093.0,100,0.5350557695379478
12600,63413.0,100,0.5330512434142783
12700,64779.0,100,0.5397942436032601
12800,63752.0,100,0.526648983108802
12900,64152.0,100,0.5254128265258842
13000,64934.0,100,0.5272964025191348
13100,66308.0,100,0.533911726988087
13200,65458.0,100,0.5226553511321882
13300,67174.0,100,0.5319010498110505
13400,67158.0,100,0.5273898535507957
13500,69523.0,100,0.5414943118975704
13600,69204.0,100,0.5346315332987019
13700,70198.0,100,0.5379380910275559
13800,70309.0,100,0.5344763452961764
13900,70093.0,100,0.5286006278156012
14000,70023.0,100,0.5239070946714321
14100,69884.0,100,0.5187720673189887
14200,72220.0,100,0.5319440392442172
14300,72309.0,100,0.528487206979087
14400,72833.0,100,0.5282356079096933
14500,73100.0,100,0.5261354474028925
14600,72721.0,100,0.5194500310989608
14700,75050.0,100,0.5320606008577644
14800,75261.0,100,0.5295771881631476
14900,75503.0,100,0.5273445733013445
15000,76644.0,100,0.5313751417478945
15100,76513.0,100,0.526590014051244
15200,79971.0,100,0.5463934254978786
15300,78592.0,100,0.5330988941122708
15400,77738.0,100,0.5235280849144653
15500,79000.0,100,0.528240021841585
15600,79350.0,100,0.5268280333719931
15700,80001.0,100,0.5274180410108352
15800,79996.0,100,0.5237030337399279
15900,80172.0,100,0.5212141181268344
16000,81254.0,100,0.5246068734085249
16100,82886.0,100,0.531477740730038
16200,84987.0,100,0.5412398100816465
16300,85291.0,100,0.5395009422121614
16400,85009.0,100,0.5341016027058498
16500,83206.0,100,0.5192799731154359
16600,85628.0,100,0.5308458776353223
16700,86946.0,100,0.5354581395771335
16800,86245.0,100,0.5276554794199875
16900,85646.0,100,0.5205726536165806
17000,85316.0,100,0.515204229631195
17100,88281.0,100,0.5296726829802356
17200,86649.0,100,0.5165493464934126
17300,92008.0,100,0.5450020323413485
17400,88482.0,100,0.5207962906530091
17500,89935.0,100,0.5260149352798481
17600,90839.0,100,0.5279755935106112
17700,92856.0,100,0.5363388314249671
17800,91999.0,100,0.5280992722902
17900,94678.0,100,0.5401320908892695
18000,92727.0,100,0.5257637485828389
18100,92791.0,100,0.5229241743959718
18200,95734.0,100,0.5362437601215732
18300,95435.0,100,0.5313509859507023
18400,95816.0,100,0.5302785259402581
18500,94227.0,100,0.5183795092104737
18600,94771.0,100,0.5182848280051731
18700,97099.0,100,0.5278886454039419
18800,99325.0,100,0.5368271580876688
18900,99021.0,100,0.5320656447328395
19000,98708.0,100,0.5273097300573442
19100,100041.0,100,0.5313495969322242
19200,98351.0,100,0.5193776354408978
19300,98952.0,100,0.5195702449508928
19400,99864.0,100,0.5213829724857912
19500,101863.0,100,0.5288169493771526
19600,101193.0,100,0.5223878744892239
19700,103187.0,100,0.5297047651004999
19800,103533.0,100,0.528526060196975
19900,105522.0,100,0.5357000002109317
20000,106818.0,100,0.5392948667494695
20100,103764.0,100,0.5210073205717559
20200,104430.0,100,0.5214943636112764
20300,105609.0,100,0.5245227350265331
20400,105112.0,100,0.5192379670685914
20500,106493.0,100,0.5232359205216627
20600,107803.0,100,0.5268429395065435
20700,109865.0,100,0.5340659302780836
20800,110521.0,100,0.5344127046069159
20900,111118.0,100,0.5344708063078244
21000,110662.0,100,0.5294887459554753
21100,112845.0,100,0.5371185150642069
21200,110977.0,100,0.5254860597742942
21300,111694.0,100,0.5261495584102687
21400,111063.0,100,0.5204877863046928
21500,112654.0,100,0.5252427490354477
21600,114353.0,100,0.5304491397036919
21700,116062.0,100,0.5356477801977233
21800,112833.0,100,0.518118030902683
21900,117334.0,100,0.5360803690877882
22000,116493.0,100,0.5295773057304274
22100,115988.0,100,0.5246577166706468
22200,116291.0,100,0.5234225739164874
22300,118085.0,100,0.5288764109661122
22400,118594.0,100,0.5285486799685976
22500,120261.0,100,0.5333588476925234
22600,120650.0,100,0.5324808057461937
22700,119651.0,100,0.5255140572664649
22800,120279.0,100,0.5257248913780618
22900,122294.0,100,0.5319660022389014
23000,122627.0,100,0.5308649056616181
23100,122835.0,100,0.5292347299971925
23200,120404.0,100,0.5163027571075212
23300,121916.0,100,0.5203199873310804
23400,123611.0,100,0.5250758843968906
23500,125770.0,100,0.531748117199377
23600,129131.0,100,0.5434155785505034
23700,126909.0,100,0.5315881750627596
23800,126444.0,100,0.5271946700784879
23900,126372.0,100,0.5244716797105394
24000,130313.0,100,0.5383512888728452
24100,127516.0,100,0.5243942095446145
24200,129598.0,100,0.5305361605808774
24300,131533.0,100,0.5360226282308083
24400,128916.0,100,0.5229920447973504
24500,130670.0,100,0.5277303888666385
24600,131133.0,100,0.5272349387508962
24700,134221.0,100,0.5372501993878886
24800,132905.0,100,0.5296259508434571
24900,133553.0,100,0.5298601215811658
